,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,id,salary_group
1,1,2020,SE,FT,Machine Learning Scientist,260000,USD,JP,0,JP,S,1,H
2,2,2020,SE,FT,Big Data Engineer,85000,GBP,GB,50,GB,M,2,M
3,3,2020,MI,FT,Product Data Analyst,20000,USD,HN,0,HN,S,3,L
4,4,2020,SE,FT,Machine Learning Engineer,150000,USD,US,50,US,L,4,H
5,5,2020,EN,FT,Data Analyst,72000,USD,US,100,US,L,5,L
6,6,2020,SE,FT,Lead Data Scientist,190000,USD,US,100,US,S,6,H
7,7,2020,MI,FT,Data Scientist,11000000,HUF,HU,50,HU,L,7,L
8,8,2020,MI,FT,Business Data Analyst,135000,USD,US,100,US,L,8,H
9,9,2020,SE,FT,Lead Data Engineer,125000,USD,NZ,50,NZ,S,9,M
10,10,2020,EN,FT,Data Scientist,45000,EUR,FR,0,FR,S,10,L
11,11,2020,MI,FT,Data Scientist,3000000,INR,IN,0,IN,L,11,L
12,12,2020,EN,FT,Data Scientist,35000,EUR,FR,0,FR,M,12,L
13,13,2020,MI,FT,Lead Data Analyst,87000,USD,US,100,US,L,13,M
14,14,2020,MI,FT,Data Analyst,85000,USD,US,100,US,L,14,M
15,15,2020,MI,FT,Data Analyst,8000,USD,PK,50,PK,L,15,L
16,16,2020,EN,FT,Data Engineer,4450000,JPY,JP,100,JP,S,16,L
17,17,2020,SE,FT,Big Data Engineer,100000,EUR,PL,100,GB,S,17,M
18,18,2020,EN,FT,Data Science Consultant,423000,INR,IN,50,IN,M,18,L
19,19,2020,MI,FT,Lead Data Engineer,56000,USD,PT,100,US,M,19,L
20,20,2020,MI,FT,Machine Learning Engineer,299000,CNY,CN,0,CN,M,20,L
21,21,2020,MI,FT,Product Data Analyst,450000,INR,IN,100,IN,L,21,L
22,22,2020,SE,FT,Data Engineer,42000,EUR,GR,50,GR,L,22,L
23,23,2020,MI,FT,BI Data Analyst,98000,USD,US,0,US,M,23,M
24,24,2020,MI,FT,Lead Data Scientist,115000,USD,AE,0,AE,L,24,M
25,25,2020,EX,FT,Director of Data Science,325000,USD,US,100,US,L,25,H
26,26,2020,EN,FT,Research Scientist,42000,USD,NL,50,NL,L,26,L
27,27,2020,SE,FT,Data Engineer,720000,MXN,MX,0,MX,S,27,L
28,28,2020,EN,CT,Business Data Analyst,100000,USD,US,100,US,L,28,M
29,29,2020,SE,FT,Machine Learning Manager,157000,CAD,CA,50,CA,L,29,M
30,30,2020,MI,FT,Data Engineering Manager,51999,EUR,DE,100,DE,S,30,L
31,31,2020,EN,FT,Big Data Engineer,70000,USD,US,100,US,L,31,L
32,32,2020,SE,FT,Data Scientist,60000,EUR,GR,100,US,L,32,L
33,33,2020,MI,FT,Research Scientist,450000,USD,US,0,US,M,33,H
