salary_in_usd,salary_group,nd_work_year,nd_experience_level,nd_employment_type,nd_job_title,nd_employee_residence,nd_remote_ratio,nd_company_location,nd_company_size
79833,M,0,0.189836079,0.519729373,0.245068968,0.414982993,0.625941503,0.505273978,1
260000,H,0,0.557040111,0.519729373,0.382900266,0.507845481,0.625941503,0.717441911,0
109024,M,0,0.557040111,0.519729373,0.116531654,0.395255458,0,0.505859935,0.915551539
20000,L,0,0.189836079,0.519729373,0.019087016,0.081632653,0.625941503,0.104234528,0
150000,H,0,0.557040111,0.519729373,0.239635348,0.745382238,0,0.913960871,1
72000,L,0,0,0.519729373,0.21191818,0.745382238,1,0.913960871,1
190000,H,0,0.557040111,0.519729373,0.274733415,0.745382238,1,0.913960871,0
35735,L,0,0.189836079,0.519729373,0.245068968,0.16325,0,0.206742671,1
135000,H,0,0.189836079,0.519729373,0.178387902,0.745382238,1,0.913960871,1
125000,M,0,0.557040111,0.519729373,0.336132445,0.617346939,0,0.788273616,0
51321,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0
40481,L,0,0.189836079,0.519729373,0.245068968,0.170011905,0.625941503,0.160141694,1
39916,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0.915551539
87000,M,0,0.189836079,0.519729373,0.217207094,0.745382238,1,0.913960871,1
85000,M,0,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
8000,L,0,0.189836079,0.519729373,0.21191818,0.119708333,0,0.060803474,1
41689,L,0,0,0.519729373,0.261119577,0.507845481,1,0.717441911,0
114047,M,0,0.557040111,0.519729373,0.116531654,0.266211735,1,0.505859935,0
5707,L,0,0,0.519729373,0.160193083,0.170011905,0,0.160141694,0.915551539
56000,L,0,0.189836079,0.519729373,0.336132445,0.198278061,1,0.913960871,0.915551539
43331,L,0,0.189836079,0.519729373,0.239635348,0.200668367,0.625941503,0.44081759,0.915551539
6072,L,0,0.189836079,0.519729373,0.019087016,0.170011905,1,0.160141694,1
47899,L,0,0.557040111,0.519729373,0.261119577,0.267580357,0,0.312877524,1
98000,M,0,0.189836079,0.519729373,0.173542864,0.745382238,0.625941503,0.913960871,0.915551539
115000,M,0,0.189836079,0.519729373,0.274733415,0.489795918,0.625941503,0.625407166,1
325000,H,0,1,0.519729373,0.474647827,0.745382238,1,0.913960871,1
42000,L,0,0,0.519729373,0.259291375,0.290594898,0,0.331894137,1
33511,L,0,0.557040111,0.519729373,0.261119577,0.072372449,0.625941503,0.183213898,0
100000,M,0,0,1,0.178387902,0.745382238,1,0.913960871,1
117104,M,0,0.557040111,0.519729373,0.279523313,0.475467498,0,0.626201024,1
59303,L,0,0.189836079,0.519729373,0.294846981,0.414982993,1,0.505273978,0
70000,L,0,0,0.519729373,0.116531654,0.745382238,1,0.913960871,1
68428,L,0,0.557040111,0.519729373,0.245068968,0.267580357,1,0.913960871,1
450000,H,0,0.189836079,0.519729373,0.259291375,0.745382238,0.625941503,0.913960871,0.915551539
46759,L,0,0.189836079,0.519729373,0.21191818,0.285135771,0,0.390688382,1
74130,M,0,0.189836079,0.519729373,0.261119577,0.371115646,0,0.448995114,1
103000,M,0,0.189836079,0.519729373,0.160193083,0.745382238,1,0.913960871,1
250000,H,0,0,0.519729373,0.239635348,0.745382238,0,0.913960871,1
10000,L,0,0,0.519729373,0.21191818,0.132653061,1,0.169381107,0
138000,H,0,0,0.519729373,0.239635348,0.745382238,1,0.913960871,0
45760,L,0,0.189836079,0.519729373,0.245068968,0.213061224,1,0.913960871,0
79833,M,0,1,0.519729373,0.294846981,0.273435714,0,0.319610051,1
