,ID,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id,salary_group,nd_work_year,nd_experience_level,nd_employment_type,nd_job_title,nd_employee_residence,nd_remote_ratio,nd_company_location,nd_company_size
1,2,2020,SE,FT,Machine Learning Scientist,260000,JP,0,JP,S,1,H,0.0,0.5587999258288353,0.5310394944273952,0.38290026552149575,0.5078454810495627,0.6182883892724929,0.7174419109663409,0.0
2,3,2020,SE,FT,Big Data Engineer,109024,GB,50,GB,M,2,M,0.0,0.5587999258288353,0.5310394944273952,0.11653165361582218,0.39491407699443415,0.0,0.5054269873172085,0.9393074166112807
3,4,2020,MI,FT,Product Data Analyst,20000,HN,0,HN,S,3,L,0.0,0.19158975187097918,0.5310394944273952,0.019087016474345016,0.08163265306122448,0.6182883892724929,0.10423452768729642,0.0
4,5,2020,SE,FT,Machine Learning Engineer,150000,US,50,US,L,4,H,0.0,0.5587999258288353,0.5310394944273952,0.24893239923187313,0.7407863136218342,0.0,0.9124121301096481,1.0
5,6,2020,EN,FT,Data Analyst,72000,US,100,US,L,5,L,0.0,0.0,0.5310394944273952,0.2189340146691745,0.7407863136218342,1.0,0.9124121301096481,1.0
6,7,2020,SE,FT,Lead Data Scientist,190000,US,100,US,S,6,H,0.0,0.5587999258288353,0.5310394944273952,0.2747334149167524,0.7407863136218342,1.0,0.9124121301096481,0.0
7,8,2020,MI,FT,Data Scientist,35735,HU,50,HU,L,7,L,0.0,0.19158975187097918,0.5310394944273952,0.25770979347509587,0.16325,0.0,0.20674267100977198,1.0
8,9,2020,MI,FT,Business Data Analyst,135000,US,100,US,L,8,H,0.0,0.19158975187097918,0.5310394944273952,0.17838790162941606,0.7407863136218342,1.0,0.9124121301096481,1.0
9,10,2020,SE,FT,Lead Data Engineer,125000,NZ,50,NZ,S,9,M,0.0,0.5587999258288353,0.5310394944273952,0.3361324454254475,0.6173469387755102,0.0,0.7882736156351792,0.0
10,11,2020,EN,FT,Data Scientist,51321,FR,0,FR,S,10,L,0.0,0.0,0.5310394944273952,0.25770979347509587,0.28513577097505666,0.6182883892724929,0.3906883821932682,0.0
11,12,2020,MI,FT,Data Scientist,40481,IN,0,IN,L,11,L,0.0,0.19158975187097918,0.5310394944273952,0.25770979347509587,0.17001190476190478,0.6182883892724929,0.16014169381107493,1.0
12,13,2020,EN,FT,Data Scientist,39916,FR,0,FR,M,12,L,0.0,0.0,0.5310394944273952,0.25770979347509587,0.28513577097505666,0.6182883892724929,0.3906883821932682,0.9393074166112807
13,14,2020,MI,FT,Lead Data Analyst,87000,US,100,US,L,13,M,0.0,0.19158975187097918,0.5310394944273952,0.21720709425387458,0.7407863136218342,1.0,0.9124121301096481,1.0
14,15,2020,MI,FT,Data Analyst,85000,US,100,US,L,14,M,0.0,0.19158975187097918,0.5310394944273952,0.2189340146691745,0.7407863136218342,1.0,0.9124121301096481,1.0
